"sep=;"
"15:10";"0,81";"57"
"15:15";"0,78";"32"
"15:20";"0,76";"47"
"15:25";"0,53";"128"
"15:30";"0,54";"68"
"15:35";"0,64";"59"
"15:40";"0,82";"31"
"15:45";"0,73";"20"
"15:50";"0,91";"63"
"15:55";"0,8";"98"
"16:00";"0,94";"69"
"16:05";"0,49";"159"
"16:10";"0,77";"28"
"16:15";"1,33";"19"
"16:20";"0,7";"61"
"16:25";"0,69";"70"
"16:30";"0,77";"39"
"16:35";"0,73";"60"
"16:40";"0,42";"102"
"16:45";"0,42";"88"
"16:50";"0,69";"45"
"16:55";"2,6";"41"
"17:00";"0,7";"51"
"17:05";"0,68";"53"
"17:10";"0,8";"17"
"17:15";"0,54";"36"
"17:20";"0,66";"20"
"17:25";"0,75";"54"
"17:30";"0,66";"47"
"17:35";"0,8";"11"
"17:40";"0,85";"23"
"17:45";"0,78";"53"
"17:50";"0,79";"45"
"17:55";"1,72";"34"
"18:00";"0,62";"89"
"18:05";"0,51";"67"
"18:10";"0,79";"7"
"18:15";"0,58";"62"
"18:20";"0,81";"48"
"18:25";"0,77";"44"
"18:30";"0,63";"39"
"18:35";"0,62";"64"
"18:40";"0,94";"24"
"18:45";"1,49";"22"
"18:50";"0,5";"82"
"18:55";"0,77";"54"
"19:00";"0,68";"23"
"19:05";"0,74";"19"
"19:10";"0,4";"74"
"19:15";"0,85";"68"
"19:20";"0,5";"33"
"19:25";"0,93";"25"
"19:30";"13,2";"0"
"19:35";"10,98";"0"
"19:40";"14,46";"0"
"19:45";"17,56";"0"
"19:50";"21,59";"0"
"19:55";"25,47";"0"
"20:00";"29,4";"0"
"20:05";"32,88";"0"
"20:10";"39,88";"0"
"20:15";"33,99";"0"
"20:20";"36,29";"0"
"20:25";"37,8";"0"
"20:30";"39,69";"0"
"20:35";"38,29";"0"
"20:40";"39,3";"0"
"20:45";"39,12";"0"
"20:50";"41,34";"0"
"20:55";"42,18";"0"
"21:00";"38,5";"0"
"21:05";"37,66";"0"
"21:10";"38,21";"0"
"21:15";"38,88";"0"
"21:20";"42,67";"0"
"21:25";"42,57";"0"
"21:30";"42,21";"0"
"21:35";"51,49";"0"
"21:40";"44,68";"0"
"21:45";"45,33";"0"
"21:50";"46,03";"0"
"21:55";"45,35";"0"
"22:00";"45,58";"0"
"22:05";"45,67";"0"
"22:10";"45,12";"0"
"22:15";"47,64";"0"
"22:20";"49,79";"0"
"22:25";"44,95";"0"
"22:30";"45,39";"0"
"22:35";"45,02";"0"
"22:40";"45,11";"0"
"22:45";"47,62";"0"
"22:50";"46,62";"0"
"22:55";"46,74";"0"
"23:00";"45,51";"0"
"23:05";"45,04";"0"
"23:10";"45,29";"0"
"23:15";"45,16";"0"
"23:20";"45,57";"0"
"23:25";"46,28";"0"
"23:30";"45,69";"0"
"23:35";"47,39";"0"
"23:40";"51,13";"0"
"23:45";"51,58";"0"
"23:50";"47,52";"0"
"23:55";"47,79";"0"
"00:00";"49,72";"0"
