"sep=;"
"15:10";"0,63";"30"
"15:15";"0,55";"36"
"15:20";"0,6";"27"
"15:25";"2,14";"43"
"15:30";"0,67";"25"
"15:35";"0,46";"70"
"15:40";"0,69";"49"
"15:45";"3,29";"4"
"15:50";"0,64";"36"
"15:55";"0,73";"19"
"16:00";"0,7";"75"
"16:05";"2,34";"11"
"16:10";"0,67";"14"
"16:15";"0,85";"26"
"16:20";"4,54";"22"
"16:25";"0,79";"12"
"16:30";"0,51";"27"
"16:35";"0,93";"45"
"16:40";"1,63";"56"
"16:45";"0,5";"40"
"16:50";"0,67";"10"
"16:55";"2,49";"10"
"17:00";"0,55";"38"
"17:05";"0,64";"83"
"17:10";"3,61";"8"
"17:15";"0,93";"6"
"17:20";"0,55";"19"
"17:25";"0,72";"34"
"17:30";"1,64";"1"
"17:35";"0,5";"31"
"17:40";"0,45";"57"
"17:45";"2,51";"14"
"17:50";"0,74";"50"
"17:55";"0,77";"19"
"18:00";"1,88";"22"
"18:05";"0,72";"57"
"18:10";"0,54";"50"
"18:15";"1,67";"31"
"18:20";"0,8";"49"
"18:25";"0,78";"29"
"18:30";"2,99";"60"
"18:35";"0,59";"65"
"18:40";"0,79";"3"
"18:45";"1,9";"25"
"18:50";"0,95";"42"
"18:55";"0,72";"27"
"19:00";"1,77";"55"
"19:05";"0,7";"37"
"19:10";"0,56";"40"
"19:15";"3";"49"
"19:20";"2,18";"374"
"19:25";"0,77";"49"
"19:30";"3,6";"22"
"19:35";"11,52";"34"
"19:40";"2,41";"0"
"19:45";"10,26";"0"
"19:50";"24,6";"0"
"19:55";"13,45";"0"
"20:00";"17,04";"0"
"20:05";"33";"0"
"20:10";"35,34";"0"
"20:15";"36,27";"0"
"20:20";"25,28";"0"
"20:25";"41,57";"0"
"20:30";"40,19";"0"
"20:35";"35,56";"0"
"20:40";"33,13";"0"
"20:45";"42,51";"0"
"20:50";"43,28";"0"
"20:55";"34,01";"0"
"21:00";"44,67";"0"
"21:05";"47,57";"0"
"21:10";"41,05";"0"
"21:15";"39,48";"0"
"21:20";"47,3";"0"
"21:25";"43,54";"0"
"21:30";"38,49";"0"
"21:35";"52,19";"0"
"21:40";"49,6";"0"
"21:45";"41,34";"0"
"21:50";"54,26";"0"
"21:55";"47,23";"0"
"22:00";"44,64";"0"
"22:05";"55,75";"0"
"22:10";"45,36";"0"
"22:15";"46,44";"0"
"22:20";"52,69";"0"
"22:25";"41,85";"0"
"22:30";"48,16";"0"
"22:35";"52,11";"0"
"22:40";"39,52";"0"
"22:45";"50,79";"0"
"22:50";"51,29";"0"
"22:55";"38,42";"0"
"23:00";"49,96";"0"
"23:05";"47";"0"
"23:10";"37,89";"0"
"23:15";"52,33";"0"
"23:20";"52,06";"0"
"23:25";"45,67";"0"
"23:30";"58,82";"0"
"23:35";"45,96";"0"
"23:40";"43,15";"0"
"23:45";"52,11";"0"
"23:50";"39,42";"0"
"23:55";"44,91";"0"
"00:00";"49,44";"0"
